Total hits: 78, link: https://www.dw.com/en/elon-musk-tesla-to-build-car-and-battery-factory-in-berlin-area/a-51218101#langSelect
Total hits: 31, link: https://observer.com/2020/03/elon-musk-say-tesla-factory-make-hospital-ventilator-coronavirus/
Total hits: 26, link: https://observer.com/2020/03/elon-musk-tesla-buffalo-factory-make-ventilator-coronavirus/#
Total hits: 23, link: https://buffalonews.com/2020/03/24/ryan-wants-tesla-to-make-ventilators-at-its-buffalo-factory/
Total hits: 18, link: https://observer.com/tag/tesla/
Total hits: 15, link: https://observer.com/person/elon-musk/
Total hits: 14, link: https://www.seattletimes.com/seattle-news/health/truckload-of-50000-n95-masks-headed-to-uw-researchers-home-thanks-to-elon-musk-tesla/
Total hits: 7, link: https://observer.com/author/harmon-leon/
Total hits: 6, link: https://observer.com/tag/face-mask/
Total hits: 5, link: https://observer.com/
